Proportion(%),Working_years(y),Parental_leave(%),Overtime_hours(h),Annual_leave(%),Management_proportion(%)
,,,,,
30,,,,,
,,,15.4,,0
33,,,,,
40,8.3,0,1.1,83,0
0,,,,,6
4.2,11,,,,1.6
70.1,4.9,87.7,9.7,71.6,31.5
16.1,,,,,
,,,,,
,,,,,
,,,20,,0
,,,,,
,,,,61,
66,,100,20,35,50
,,,,,24
32.1,,,,,
34.1,,,,57.5,22.9
,,,,,
,,,,54.5,29.4
,,,,,
,,,10,,0
,,,,,30.7
,1.3,100,,,66.7
5.6,3.2,100,24.9,64.3,
8.5,,,,83,
61.1,,,,,
75,3.7,,12.2,42.5,50
71,,100,,,
,,,1,,0
,,,,,
,,,,,
,,,,,
,,,,,
37.5,,,,,
,,,,,
,,,,,
22.5,1.9,,,,
66.6,7,0,6.5,100,50
,,,,,0
,5.1,,,,
51.5,,100,16.2,,9.5
,,,30,,6.7
24,3.7,100,20.2,38.6,20
46.5,3.8,100,,,12.5
,,,10,,50
50,10,33.3,41.3,52,50
,,,,,
,,,,,
,,,,,50
31.6,24.2,,3.2,,7
,,,3.3,,
,,,,,
53.8,14.2,,,,
,,,,,
,,,,,
,,,0,,
,,,0,,0
,,,,,
,,,,,
56,7,100,11,60,11.5
21,8,,,,
,10.9,,27.8,8.1,6.1
76.8,12,,,,
,,,,,
33,,100,,54.8,7
69.4,6.6,,,,35
74.1,7.9,100,1.7,53.7,88.9
,,,,70,50
,,95.7,,,42.9
,6.6,,,,0
,,,,,
,,,6,,
,,,,,
,16.8,,,,
,,,,,
,,,,,
,,,,,
,,,,,
4.8,4,100,19,23,0
,,,,,
,,,,,
31.3,17.3,,19,79.7,5
,,,,,
,,,,,
41.6,13,84,5.2,75.1,7.1
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
85,5.7,3,5.4,82,6.6
64.9,2.9,100,7.2,59.5,25
,,,,,
,,,,,33
28,13,100,7.3,48,17.3
,,,,,
,,,13.4,,20
,,,,,
5,,200,,,
,9,100,29,84.2,15.3
84.9,5.6,98,29,,37.5
19.9,9.1,100,24.4,48.3,3.7
,,,,,
20,,,,,0
,,,,,
100,,,,,100
21.1,9,,,,0
,5,,,,
9,,,,,
,,,,,
,8,,,,
,,,,,
,16,,16.4,79,
15,,,,,0
,,,,,0
40,7.1,,28,30.7,64.7
,,,,,
,,,,,
40.9,10.5,100,13.8,54.5,37.5
,,,,,
,,,,,
,,,,,0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
37.8,7.9,100,15.9,44.1,0
40,10.5,100,28,98.1,
,,,,,
,,,,,
,,,,,
,,,,,
28.4,,,,43,29.6
,,,,,
,1,,0,,50
,,,,,
67,6,,,,
14.3,18.3,,,,
,,,,,
,,,,,
,,,,,
,,,,,
32,9,,,,15
,4,,,,12
,,,,,
52.8,13,,18,50,35
63.4,,,7.3,,26
,10.4,,41.5,56.2,30.1
,,,,,
46.6,5.9,100,14.1,65,39.7
0.9,11.7,,16.5,,
,,,,,
89,,,,,
92,11,,0,,21
27.6,,100,20,,4
18.8,3.9,,9.2,76.6,6.3
100,,,4.3,,58.4
,,,,,
,,,,,
,,,,,
65,7.1,70,12,68,11
,5.9,,13.8,,3.4
50,7.6,,,,17.3
,,,,,
,0.3,,,,0
36.1,10.6,100,28.5,66.6,14.1
29.7,12.3,100,26.7,57.1,22.6
23.4,11.7,100,18.1,47.8,3.3
,,,,,
,8,,,,
,,,5.5,,50
,,,,,
100,,,,,100
24,4,,17,,
,4,,14,,
38.9,,100,,59.8,
75,4.6,100,23.1,53.1,4
75.5,9.1,100,8.3,72,35.3
64.3,4.1,,14.6,71.8,8.6
,,,,,
,,,,53,0
8.9,,100,,43,
48,,,,,20
50,1,0,0,0,0
,2.5,,,,
,,100,,,50
,,,1,,
,2.4,,26,,54.5
,,,20,50,
,9,95,,78,67
14.5,12,100,8.8,,8.3
,,,,,
69.3,2.8,100,12,,33
42,5.1,,,,
84.2,,100,0,,37.5
,,,,,
21.9,4.1,100,13.7,45,8.8
50,,,,80,30
,,,,,
,,,0,,7.7
,5.1,,32.1,,16.7
,8.6,100,15,68.7,31.4
,4.5,,,,4.4
,6.1,,,,36.5
,,,2.7,62.3,0
42,4.3,100,23.3,55,18.8
,14.1,,0.6,55.5,5.4
,,,,,
42.6,,,,,
17.1,7.8,,,,
86.8,12.1,100,6.5,,30.8
,,,,,
,,,,,
33,10.5,100,20.4,57.1,3.9
67.1,8,100,6.4,,36.8
,,,,,
,,,,,
,,,,,
23.5,8.5,,30.2,47.9,
10.8,2.8,,0.4,100,47.5
87.9,12,,3.6,86,55.3
,2,,,,
,,,,,
74,9.3,100,2.9,63.2,43.9
,6.6,,4,,72.7
,,,,,
72.9,,100,,,50
,,,,,
,,,,,
,,,,,
10.7,12.9,100,18.1,75,2.1
76,4.7,100,3.9,50.9,44.4
25.6,11.9,,13.2,,2.6
,,,,,
7.7,9,,,,
,,,,,0
,,,,,
,,,,,
,,,,,
,,,,,
,7.8,,4.5,,31.6
,,,9,,46
,,,,,
46,,,11.9,,
47.7,7.7,,,,
,11.8,,,,
,,,,,
71.3,,100,,,33
,,,,,
,11.1,,3.9,,50
,,,,,
46.6,,100,,,
9.9,20.5,100,10.2,50.6,1.3
16.3,,,,,1.5
,,,,,
,3,63,2,,5
,,,,,
,,,,,
17,,,,,
10.5,9.1,100,6,40.4,1.8
15,12,100,20,46,
7.5,13.8,,,56.7,
,,,,,0
,,,13.2,,25
,,,,,
,,,,,
10,19,,10.8,10.6,6.3
,,,,,
46,5,,,,
,,,,,
5.3,7,,,,7.6
,,,1,,0
,22.2,,15,,1.7
,,,,,
,,100,,,
,,,,,
18.4,8.2,100,22.1,50.6,6.3
63,9.6,100,,,43.5
,,100,,,42.5
,,,,,
21.4,10.8,0,25.8,33.3,14.3
1.4,3,0,10.1,,0
,,,,,
7.1,,,,,
,,,,56,
,,,,,
,,,,,
74,,0,,,
,,,,,
,,,,,0
,,100,,,40
,3.7,,3.6,,80
73.8,13.1,,2.9,62.3,11.1
,9,,,,
,,,,,
,,100,15,,
0,10,,,,0
69,,100,5,38,41
13.5,9,100,22,69.2,1.2
100,,,,,
20,20,100,12.4,68,2
26,12,100,10,,
34.3,,100,,88.4,
29.2,15.5,100,24.9,56.8,12.2
,,,,,
4,15,,14.9,75,
7,8.6,,,,7.4
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,7,81.8,,67.4,0
,,,,,
40.9,16,100,9.6,53.8,19.3
,,,,,
,,,,,
,,,,,
,,0,,,0
,,,,,
0,,,,,
11.5,13,,,,3.4
22,,,20,,
,,,,,
33.2,14.2,,,,10.3
100,,,,,0
,,,,,
,,,,,
,,,10,,17
,,,,,
19.7,15.8,100,6.8,43.8,0
61.2,,100,,,38.9
41.3,16.1,100,10.6,37.5,18.4
67,3,,,,
7.7,4.4,,8.2,53.4,50
,,,,,
80,21,100,1,100,14
,,,,,
13,9.9,,8.5,,
1.2,,100,,56.5,1.7
43.8,6.4,100,14.8,60.8,15.1
,,,,,
100,,,,,0
,,,,,
12,14.3,100,3.7,,0
26,7,,40,10,0
,,,20.4,,10.7
,,,,,100
11.1,,,,,
,4,100,1,10,30
11,17.2,,,,
26.9,25.3,100,4.1,62.2,2
10.4,37.8,100,26,,1.2
,,,,,
,12.1,,,,
37.1,16.4,100,18.5,73,1.6
8.2,15.1,100,9.3,38,
14,16.6,,,,14
,,,,,
38,9,,,,
,3,,30,,0
7.6,18.4,,14.2,55.9,0
8.9,8,0,,,2
16,17,0,40,25,17
,,,20,,0
,,,,,
20,,,,,
50.1,13,,,,25.5
,,,,,
,,,29.8,,
,,,,,
17.7,12.3,100,,,2.3
4.6,16,,13.6,50.7,8.3
,12.7,,,,
,,100,,,
38.1,7.3,,12,45,40
25.8,,100,,,9.3
,,,,,
46,,100,,,10
50,,,13.2,67.5,
,,,,,
,,,,,
,,,,,
,,,,,
,25.5,,,,0
0,0,,,,
,,,,,
13.7,14.1,83.3,8.4,68.5,3
18.4,9.6,100,16.5,66.7,0
,8.1,100,,65.6,4.5
16,11.8,,24,79.5,0
8.5,3.9,100,18,71.6,0
,,,,,
,4.6,0,22.4,67.5,0
14.3,10,100,18,68.2,0
17,10.3,100,17,70,0.8
,,,,59,
23.2,10.4,100,,75.2,2.7
17,7.3,100,,67,0
15.8,13.2,100,17,,0
17.6,8.2,100,18.6,63.6,6.8
17.4,13.6,100,20.1,69.8,2.2
,25.1,,7.8,,
49,,,,,
,,,,,47.8
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
12,8.4,100,16,19,0
0,13.6,,,,
,,,,,
,,,,,
,,,6,,0
,,,,,
30,6,100,,,
60,,,,,4
,,,,,
17,5,,0,,11.1
,,,,,
,,,16.3,,2.7
,,,,,
,,,,,
,,,,,45.5
,,100,,,
0,0,0,39,26,0
,,,,,
,,,,,
,,,,,
,20.6,,5.8,66.8,0
16,5.6,,10.8,,
4,7,0,42,,0
23,,,3,,30
14.7,16,100,14.9,72.2,1.8
,,,,,
,,100,23,57,0
,,,,,
,,,,,
,,,,,
68.2,16.6,100,10,,48
14.3,1.9,100,33.3,29.9,3.7
,,,,,
7,8,,,,
50.5,12.2,100,7.8,,16.8
,,,,39,2.9
30,7.3,,,,12
68.3,9.8,,,,33.3
,0,,,,0
,11.3,,9,48.8,6.8
,,,,,
44,,100,,,8.3
18,,100,15,44,
73.3,8,,,,46.7
,,,,,29.9
,,,12.5,,
17.3,13.4,100,,80.6,7.5
48.6,9.7,,25.2,,9.8
,,,,,
17.9,,0,,,
,2.5,100,3,,40
,4.4,100,11.8,61.1,1.6
17.2,11.4,100,,42.7,
20,10,100,30.4,46.9,3.9
,9.1,,,,30.9
37,11,,,,
28.9,,,7.1,,
69,,,,84.4,
11.4,9.1,,,,
6.5,18.9,0,41.3,46.7,0
21,15.1,100,15.3,10,7.3
9.5,21.7,116.7,24.7,83.5,2.1
9.5,21.7,116.7,24.7,83.5,2.1
,,,,,
100,20,0,0,7,25
,,,,,
0,,,31,,0
,,100,8.6,,20
13.5,12.9,100,8.3,34.4,6.1
,,,,,
,,,,,
4.2,19,,17.6,84.6,1
53.5,47,100,14.6,37.8,11.6
15,11,100,23,65,4
,3,,23,25,0
,,,,12,
40,,,50,,
,6,100,49,29.7,0
12.7,11.1,,,,
,,3,,,
48,,,,,
,,,,,
,,,,,
30.9,9,,,,4
53,8,100,,,31
,,,,90.7,5.5
34.1,11.5,100,0,63.8,6.3
,,,,,
50,,,,,
63.9,9,,4.2,,
,,,,,
,,,,,
,1.7,,,,
,,,,,0
,,,,,
,,,,,
,,,,,
,,,,,
,8.2,,,,
42.5,13.8,98,3.3,72.3,14.6
,,,,,
,,100,,,
26,,,9,,
,,,,,
,,,20,,
,,,10,,
,,,,,
,,,,,
0,0,,0,,0
50,4.5,0,0,100,50
18,7.2,100,,,
,,,6.7,,28
,,,,,
,,,,,
23.9,15.7,100,27.4,60.1,1.9
,,100,,,
,9,,,,10.3
60.3,12.5,,5.2,,1.1
,7.2,100,,,6
,,,,,
,6.1,100,15,42.3,19.1
37.1,,,,50.4,10.7
37.1,7.7,,,,
,,,4.3,,11.3
,,,,,
51.7,5.8,,,,16.1
,,,,,
,,80,,,10
,,,,,
,,100,,,
,,,,,
,,,,,
17.9,17.3,100,10.3,64.6,12.9
22,12,,,,
,6.3,,,,
47.5,7.5,95,5.5,20.1,13
,,,,,0
100,31,,20,,0
,,,,,
,,,,,
,10,,,,
,,100,,,7.5
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,7,,,,
,,,,,
26.1,8.8,,11.2,67.2,10.3
19.9,10.7,,17.4,63.5,7.7
,,,6.8,,33.3
24.5,10.8,100,12.3,53.2,11.4
14.2,9.7,,14.8,69.6,8.5
,,,,,
,,,,,
,10,,13,35,7.7
,,,,,
,,,,,
62.5,4,0,11.1,12.5,0
,,,,,
,,,,,
,,,,,
,,,,,3
,,,,,
0,0,0,0.4,32.8,50
,,,,,
,,,5.1,,
,,,,,
,,,,,
,,100,,,
25,13.7,100,17,100,3
15.2,,,21.9,,
,1,,18,44,5.2
5.1,18,,,38.6,
,1.9,,22.3,,0
,,,,,
,,,25,,0
,,,,,
,9.6,,,,
2,8.8,,,,
,9,10.7,21.4,44.5,0
,,,,,0.7
6.2,,0,,,1.3
,,,,,
,,,10.5,,
,,,,,
6.1,11.9,100,12.8,102,1.3
,,,4,57,
8.4,15.7,98.9,16.6,99.3,1.7
,13,,,,
,,,,,
67,,100,,,
,,,,,
,,,,,
,,100,,,
,14.6,,,,
,18,,,100,
,,,21.2,,9
,,,5,,5
24.2,9.4,,14.2,90,1.4
,,,,,
,10.3,100,6,48.5,0
72,9.9,100,2.8,46,43
5.4,5.5,0,22.1,36.3,0
,,,,,
30,,,,,0
59,7,100,,,3
,,,,,3.9
19.4,4.9,100,15.1,42,0
16,9.5,0,12.8,100,0
4.5,3,100,16.9,36.2,0
66,4.8,100,12,,0
,,,9.6,,
0,8.8,100,16.4,30.8,0
,11,,,,
19.7,20.6,,,96.2,1.6
,16.5,,,94,3
,,,,,
,,50,,,0
,,,,,
,,,,,
,,,15,,44
,,,,,
21.5,,,26.4,,
,,,,,
20,14,100,,66.5,2.1
,7.3,,5.3,20.1,33.3
42.9,2.1,0,33.9,33,23
,,,,,
,,,,,
23.9,5.4,100,20,65,12.1
,,,,,
,,,,,
18.8,,,20.4,25,0
,7,,,,
,,,,,
,,,,,
,,,,,
19.1,7,,,,0
,,,,,
,,,,,
,12,100,,,0
,,,7.8,,
,,,,,
,,,,,
,,,,,
,12.4,,,,5.4
34,11,,4.7,79,
,3,,,,40
,,,,,
,,,,,0
37.8,15.4,100,14.6,,18.8
,,,,,
,,,25,40,
33.9,9.2,,,,
0,0,,,55,0
85.7,,,10,,
,,,,,
,,,,,
30,,,23,25,
14.1,16.8,0,5.8,87.2,6.9
,,,5.9,,
,,,,,
,,,,,
,,,,,
100,2.9,,27.2,,
,,,,,
,3,,39,50,0
50,2,,3.8,61,31
7,11.2,100,39,65,5.6
44,10.7,10,12.9,50,5
,,,,,
,3,10,1,70,28.5
,,,,,
,,,,,
,,,,,
23,11.8,,,,2
,,,,,
,,,,,
,14.3,,7.7,70.3,13.6
,,,,,
,,,,,
58,4.8,,,,
24.9,13.5,85.7,,,2.6
,17,,,,
,,,,,
,,,,,
,,,,,
,3.2,,15.1,,81.2
60.6,4.1,100,6.6,70.1,83.1
71.1,3.9,0,16,61.9,50
8.9,,,8.9,,
,,,,,
,,100,,,6
38.2,18,,,70.2,
20.6,,100,,,7.3
,,,,,
80,6.3,100,20,47.5,50
28.7,7.3,,,,8
19,17,100,22,78,
69.4,,100,,,
,,,,,0
,,,11.6,,
43.5,18.6,100,10.4,78.1,23.5
16,0.3,100,7.3,3.7,4.8
,,,0,,
,,,,,
,,100,,,
48.8,4.4,,1,55.3,18.2
6.3,6.7,,,,1.4
28,,100,,,9.4
40,,,,,9.6
0,0,0,12,20,0
32.7,5.5,,8.3,,10
,,,,,
,,,,,
47.5,,,,,33.1
7.9,6.1,,,,20
17.1,10.8,,7.3,,15.4
25,13.2,100,,,11.5
62.2,7.2,,16,,6.8
,,,,,
,,,,,
39,14.9,,,34,7.3
,,,18.2,,26
43.7,2.8,,19.2,,20
,,,,,
12,5.5,96,16,83,12
,,,,,
,,,,,
,,100,,,
11.7,15.5,,,64,0.9
,,,,,
,,,,,
,9.6,,,,2
17.8,12.2,,,,
,11.5,,8.8,42.6,2.4
20.4,15.5,,,62,6.8
,,,11,,11.1
22.9,9.6,,,,
,,100,,,
,,,,,
,,,,,
,,,,,
,11.9,,17.4,,1
21,10.6,100,14.9,53,3
12.2,13.9,100,24.5,67.6,3.8
,,,,,
,,,10,,
,,,,,
,,,,,
18,8,0,11,40,0
,,,,,
,,,,,
35.6,10,100,,,4.3
,,,,60,
81,10,3,0,,50
48.8,9.4,,,,16.7
3,,,,,
,17,,20.2,,0.7
,,,,,
,8.6,,10.5,,0
,,,1,,10
,,,25,,25
,,,,,
,,,,,0
,,,,,
,,,,,
20.7,3.9,100,22.7,57,0
19.5,18,100,13.6,68.8,3.6
,,100,,,0
,,,9.6,,0
,,,,,
,7,,26.4,57.6,2.8
,,,,,
0,,30,,,
10.6,,,,,
7.6,,,,,
0,,,,,
,,,,,
,,,,,
45.5,2.9,100,21,12.7,18.2
,,,,,
,0,,,,
,,,,,
,,,,,
,,,,,
,,100,,,69
,,,5,,100
,,,,,
,,,,,
,,,,,
,,,,,
25,,,0,,0
,,,2.2,,46.7
66.6,13.9,,2,,66
,,,,,
,,,,,
40,,,,,0
,11,,0,,50
,,,,,
26,5.9,100,,,
,,,,,
,,,,,
,17.9,,,,
,,,,,
,,,,,
25,,,,,
,,,,,
,13.8,100,5.3,,45.2
,,,,,
19,3.4,,12.6,,17.6
,17.9,,16.2,74.7,
,,,,,
,,,,,
,,,,,
,,,,,
18.3,19.8,,8.3,62,
,,,,,
,9.4,,,,16.7
,,,,,
,,,30,,7.1
,,,,,
,,,,,
87,,,,,
,11.3,100,16.5,,23.6
,,,,,14.3
,,,,,
,,,1.5,,33.3
38.6,8,100,,,22.9
,,,,,
,,100,,,
8.8,11,,18,38.7,1.2
,5,,10,,20
,,,7.4,,
19.1,14.8,,26.3,,26.9
20,5.6,,,,
,10.5,,,,7.5
20,9.9,100,27.6,45.2,20
16,,100,7.8,37.5,10.6
,,,,,
23.4,11.4,100,17.7,30,6.1
5,13,100,3.6,,2.9
,,,21.9,,15.1
,9.6,,,71.4,35
,,,,,
,,,,,
2.7,6.8,0,39.8,39.5,1.4
49.4,,100,,,25
32,14,100,25,44.9,8
,,,,,
100,6.1,,49.4,,
12,10.1,,,,
,,,,,0
,18,,,,8.3
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
56.5,7.3,100,3.5,30.6,10
,,,,,
,7.9,,17,35,
,,0,,,
,,,,,27.3
,9,,,78,
5,,,,,5
2.7,0,,38,39,0
0,0,0,20,75,50
,,,,,
,19.9,,7.3,48,0
11.8,,0.9,,,
,,,40,,
,,,,,
,,,,,
,,,,,
,,,,56,
60.4,7.9,0.7,0.6,,60.7
,,,,,
9,,100,21.5,64,0
,,,,,
,,,,,
,,10,,100,
,,0,24.3,,2
,,,,,
,,,,,
,,,10,,
,,,,,
67.9,7.8,100,,62.8,55.6
,13.9,100,21.4,,3.6
,,,,,
,,,,,
,,,,82.8,2.7
20.9,13.9,,,,7.5
10,14.9,100,8.2,70.6,2.9
0,0,,,100,
,,,,,
,,,,,
,,100,,,0
,,,,71,
,,,,,
14.8,11.6,,16.7,,0.8
,,,,,4
,,,10,,
37.6,9.9,,,,
,,,,,
,,,,,
90.1,11.1,100,10,18.1,0
49.5,10.4,100,0.4,66.2,38.2
,,,,,
,,,,,
,11,,,,
20,10,,,,
,,,,,
,,,,,
21.6,13.2,,,,0
,,,,,37.5
,7.2,,5.9,,0
,,,,,
,,,36,,
,,,,,
,,,,,
39.3,4.7,,,,20.8
,,,,,
,,,,,
49.1,8,100,12.2,36.4,16
28.8,5.6,,,,15.3
,,,31.2,22.1,13.7
,,,,,
35.7,13.4,0,4.2,24.7,0
26,16,,,,
,,,,,
,,,,,
,,,,,
,,,,,
50,21,,31.8,100,0
34.2,14.2,,,55.6,2.7
,4,,28.5,,0
,9,,21,,0
,,,,,
,,,,,
,,,,,
,,,,,
,,,2,,
48.9,19.6,100,,,14.3
35,5.8,,10,53.2,0
,,,,,
17,4.8,,33.1,41.3,
,,,,,
13.5,13.4,100,11,88.8,0
,,,,,
61.2,15,0,30,4.7,0.1
,,,,,
,,,6.9,,26.3
26.7,1.9,,3.4,,20
47.3,,100,,,7.6
,,,,,
,,,,,
,17.5,,6.8,70.9,0
,,,18,,0
,,,,,
,,,,,
,,100,,,18
42.2,9.9,100,16.9,19.2,16.9
,18,,,,5.7
,,,,,
43.9,5.1,0,5.5,63.2,33.3
35.2,7.3,50,12,71.2,35
,2.2,,10.8,,14.4
100,10,90,0.2,100,83
,,,,,35
,10.5,,,,
,,,,,
5.8,0,,,,
43,7.7,,,,17.8
15,17,100,12.7,75,6
,10.8,,,,16.7
,2.6,,3.8,,0
24.5,,,,91.1,
,,,,,
,,,,,
100,,100,,,100
,,,,,100
,,,,,
,,,,,
32,10,,,,
25.8,5,100,,,
,,,12.3,,
,,100,,,1
,,,,,
72.7,7,,,,50
,,,,,1
,,,,,
95.8,,100,,,54
,,,4.9,,13.2
34.3,6.1,,12.3,,5.3
,6.4,,,,6.9
,,100,,,0.8
,,,,,
7.1,,50,,,
,0,,,,
44.5,19.3,100,3.9,57.6,13.9
27,17.9,100,6,65.6,6.5
,,,,81,8.2
,,,,,
,,,,40,
,,,,,
8.2,11.6,100,20.6,46.4,1.3
21.4,13.7,100,28.6,48.6,2
87.5,,,,,0
,,,,57.5,
100,11.7,,,,
,8.5,100,,,2.6
7,,,30,,
,,,,,
,,,,,
14.2,7.4,,45,,
,,,,,
9.5,,,,,
,,,,,
,,,,,
,,,,,
30,,,,34,30
,11.2,,,,6.6
,,,,,
,,,,,
0,0,,10,20,0
74,,0,,,
,,,,,
,14,,,,
,11.7,,,,
,,,,,
,,,,,
35,,,0,15,11
,,,,,
67,,,,,
,,,,,
,,,,,
,,,,,
,,,,54,
,9.6,,,,
13,,,,,
,12.7,,14.7,,7.3
,,,,,
,,,,,
40,6.8,100,,47.1,6.4
,,,,,
,,100,,,3.8
,,,,,
,,,,,0
97.3,10.5,98.8,3.4,43.2,74
,,100,,,6.7
,,,,,
,10,,,,
,,0,,,
,,,,,
45.6,13.5,,13.6,45,3.4
,18.4,,18,,1.4
,,,,,
,,,,,17
,,,,,
27,9,,,,18
,,,,,
,,,10.5,,
,12.3,,,,
,,,16.5,,
,,,15.1,,0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,100,,,3
33.3,16,,20,30,0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
10,,,,,
40,4,100,25,,10
,,,12.2,,0
27,12.7,,3.5,57,33
,,,,,
,,,,,
24,17.1,100,24.4,41.9,0
,,,,52.8,
,,,,,
,,,,,
,,,,,
,,,,,
,,,19.2,,
,12.9,,,,8.5
,,,0,,5
,,,,,
31.5,14.6,100,,,7.6
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,9.7,,,,6.7
,0,,21,,0
19.1,20.4,,,,
,,,,,
7.7,10.5,0,33,50.7,0
8,5,,18,,
,,,,,9.9
48,28.9,,11,,0
77.2,5.6,,,,
13.9,12.8,100,27.2,52.8,3.5
,10.8,,,,2.5
,,,12.7,,
,,,,,
,,,,61,
45.9,2.6,100,8.6,,1.7
,,,,,
,9.7,,,,
,13.6,,,,0
,,,,,
,,,,,0
,,,,,
,,100,,,
,,,,,
54,8,,20,0,0
22.3,,,25.6,,
71,,0,,,
,,,20,,
,,,,,
,,,,,0
,,,,,
,9.8,,,,
32.1,17,100,,,5.1
42.6,7,100,,,5.4
9.4,10,,10,,
100,14,,12,,25
,,100,,,6.3
,,,,,
,,100,,,
,,100,,,
,,100,,,
,,,,,0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,60,25
,,,,,
13,,,,31,
24.5,12.2,106.2,10.6,41.8,4.5
24,11.6,100,12.6,32.6,5.6
13,9,100,14,56,0.4
9.5,13.1,100,31.8,56.7,5.6
,,,,,
53.5,17.5,100,7.4,,31.7
,,,,,
,13.7,,11.5,71.3,3.8
,,,,,0
12.6,14.1,0,12.2,,9.6
11.9,15.3,100,20,41,7.5
,7.5,,,,42.9
21.3,2.5,100,17.3,62.1,5.7
7.9,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
4.5,7.6,,8.1,,5
30,9.3,100,9,73.8,12.2
,,,,,
0,,,,,
,,,,,
0,,,,,
,,,,,
23.3,14.6,100,9.5,51.1,8.7
19.1,13.3,,24.9,42.4,7
60,3.8,,16,,67
0,,,,,
40,,,,,0
,10.6,,,,56
,,,,,
0,,,,,
0,0,0,2,61,0
,,,,,
12.9,17.8,,7.5,,2.2
4,7,,10,,
,,80,10,,21
,12.7,,,,
,13.5,,,,
33,8,100,13,80,25
,12.4,,,33.2,9.1
57,5,0,20,70,0
45,,,,,
,,10,,,
11.2,14.1,,18.1,67.2,2.8
,10.9,,,,
,,,,,
,,,,,
,,,,,
,8,,4.3,31.1,0
,,,,,
,,,,,
,,,,,
66.8,6,,0,85,
5.9,,,,48.6,0
,,,,,
45,9.6,100,,,20
82,4,,,,
10,32,0,18,,20
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
0,,,,,
,,,,76,44.4
33.3,0,,20,10,0
,,,,,
,,,,,
81.1,5.3,,,,48.5
,,,,,
,,,,,
0,0,,20,50,0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,16.6,100,14.8,45.6,8.3
21.4,4.7,,4.3,73,15.4
16.5,16,100,14.4,100,2
,,,,,
,,,,,
,17.4,,,77,
,,,,,
14.5,14.9,100,34,55.1,2.7
0,,,,,0
24.4,16.8,97.7,21.2,71,2.6
,,,,,
,,,,,
,,,,,
2.8,16.4,,7.4,85.7,
20,15,1,13.9,,0
,,,,,
66.4,7.5,,,,49
,,,,,
,,,,,
,,6.6,,,
,,100,,,
,,300,,,23.6
,,,,,
,11.1,,8.8,,50.6
37.5,23,,,,0
,13.2,,,,3.3
,,,,13.8,4.9
,,,,,0
41.8,,100,,,0
,,,,,
18.9,13.4,80,10.7,25.1,13
,,,,,
,,,,,
33.8,11,100,26.4,58.8,2
9,,,,47,
,,0,26,,
,,,,,
,,,,,0
,,,,,
0,,,,,
,,,7.5,,41.5
58,4.9,,9.1,,100
50,,,,,38
,,,,,0
,,,0,,0
,,,,,
,,,,,
,,,,,
,,,,,
18,4,100,,,
,,,,,
25.4,5.9,0,24.7,41.7,6.3
28.6,14.4,98.6,11.2,40.9,
,,,,,
0,0,0,20,0,0
,,,,,
,,,,,
46.5,19.3,,,,20.9
,,,,,
,,,,,
100,,,,60,0
,,,19,,
,12.3,,,,4
,0,,1.5,,0
0,,0,12.8,60,7
,,,,,
,,,,,0
,0.8,,,,0
,,,,,
,,,,,
57.1,,,,,0
,,,,,
62,5.5,100,30,45.9,0
22.2,14.1,100,25.5,,1.4
24.2,9.1,100,24.5,44,4.5
19.8,,,10.5,,3.9
,,,,,
26.7,10.6,100,,36,7.1
,,,,,
18.1,10.1,100,24.9,25,2
35.2,9.8,100,34.7,33.1,7.6
,,,,,
,,,,,
,,,1.5,,4
20,31,,15,80,0
,,,,,
40.9,12.1,100,3.7,44,0
42.7,15.5,100,8,62.8,11
,,,,,
,,,,,
,,,30,,8.8
71.4,3.4,100,0,100,71.4
,,,,,
,,,,,
,11,,16,,
,,,,,
,,,,,
0,,,0,,
14.1,10.8,,,,4.7
14.1,10.8,,,,4.7
45.4,3.7,,3,,
38.6,,,16.7,,13.5
38.6,,,16.7,,13.5
,,,40,,0
73.4,,100,,,37.8
,12.5,,,,
42.1,2.5,100,16.7,,17
,,,,,
,,,,,
,,,20,,0
,,,,,
12.5,,,5.6,69.6,
,,,,,
,,,,51.2,2.4
,,,,,0
,,,,,
,,,,,
20,24,,17.8,28,50
,,,,,
29,17.6,,4.4,43.6,5.1
31,18.1,,,,
,,,,,38
,14.9,,,,
4.6,44,,9.6,,2.8
,17,,,,
,,,,,
,,,,,
,,,,,
,,,,,
24.7,13.5,96.8,19.9,71,17.2
,,,,,
16.6,9.7,87.5,21.6,63.2,19.1
,,,,48.9,
24.7,13.5,96.8,19.9,71,17.2
,7.8,0,26.5,,17.6
27.3,15.6,100,7.3,70.8,9.4
,,,,89.8,
,,,,92.7,47
,,,,,
,,,,63.6,3.1
,,,4,,
