Proportion(%),Working_years(y),Parental_leave(%),Overtime_hours(h),Annual_leave(%),Management_proportion(%)
,,,,,
,11.7,,,,25
69,5.1,100,3.4,,50
14.9,9.3,100,26.5,43.7,6.5
,,,,,
,,,,,
,,,,,
14,,,,,14
100,,100,0,100,
,,,,,
,,,,,25
,,,,,
70.2,8.1,,0.8,75.2,9
8,8,100,,70.1,
10.8,4.5,,,,
,,,,,
,,,,,
28.1,18.4,100,6.3,75.1,11.4
7.2,12,,19.5,,2.1
25.4,10.3,100,5.6,82,9.2
25,,,8.8,44,7
,,,,82,9.3
10,9.2,,,,
6.4,12.4,100,18.6,68.5,6.4
,,,,,4.8
,,,,,
,4.2,,22.5,24.4,27.8
,,,,,
,,,,,
,,,,,
,2.1,,1.5,,71
,,,,,
,,,,57.9,
36.4,9.7,100,12.6,73.1,31.6
,,,,,60
,,,,,
27.9,19.1,100,4,62.5,5
,,,2,,
39,,,20,,
,,,,,
50,1.5,0,0,50,50
2,,,,78,
,,,,,
35.7,5.6,,,,12.5
39.2,7.9,100,10.2,69.3,24
,6.4,,,,
,,,,,
,,,,,
23,,100,,,5
60.9,,100,,,6.2
,,,,,
,,,26,,
,18.4,,,,
,14,,,59.7,
28.8,17.4,100,14,52.4,6.3
1.1,10.7,,17.7,,
35.6,15.7,83.3,9.9,67.1,8.3
,,,,,
29.3,13.4,105,8,70.5,11
39.8,16.5,,13.2,80.9,18.9
6,3.2,0,,51.7,0
,,,35,,
32.1,,,,64.3,28.4
,,,,,
,2.3,,,,12.5
,,,,,
,,,,,
,14,0,24,10,17
26.1,4.9,0,11.8,77.9,0
,,,,,
,,,,,
16.9,,,,69.7,
38.6,5.4,100,27,,14.2
,,,,,
,,100,,,
,,,,,
,,,,,
,,,,,
27,9,100,,40,0.6
74.5,8.1,100,8.7,30,37
,,,30,,0
,,96.4,,,14
0,0,,14.6,,8.6
25,9.1,,,,7.7
,,,,,
,,,,,
19,21.6,100,8.5,72.9,5.2
19.3,8.8,100,9.1,70.2,0
24.4,13.5,100,9.2,68.7,6.8
,,,,,
,,,,,
,,,,,
,6.2,,,,
,,0,,,0
,,,,,
12,15,,17,,
58,,,,,57.1
,,,,,0
13,5.7,,,46.7,4.9
27.3,,,,,
,12,,,,
,11,,2,69.9,15.4
69.4,9.5,,,,
,,,,,
77.7,7.8,100,6.2,62.9,47.6
42,11.7,100,14.4,29.6,14.8
,,,13.5,,20
,5.9,,21.8,12.6,0
,7.4,,8.3,,10
91.8,2.6,100,6,63.9,86.2
15,,,,23,0
,,,,,
,,,,,
66.5,7.3,100,5.3,,40.7
74.2,6.1,99.6,4.6,64.6,33.4
,13.4,,,39,
,,,6.9,,18
,,,,,
,,,,,
88,,0.1,,,
76.5,21,,8.6,,2
,,,,,25
,,,,,
,,,,,
37,1,,,,
13.6,,,,73,0
0,,,,,
11,0.1,0,10.1,,0
,,,,,
,,,,,
,,,,,
0,0,,,,0
,,,,,
0,1,0,25,20,0
,,,15,,20
,,,,,
,,,,,
,,,,,
28,5.9,,22.1,64.8,18.3
31.8,12.2,100,5.2,47.9,18.9
12,7.8,,18.4,,
4.8,,,,49.7,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,6.7
,,,15,,
,,,,,
37.5,4.8,100,20,58,33.3
,,,,,
,,,,,
,,,,,
47,3,100,,62.6,45.4
,,,,76,40.7
19.7,14.4,,13.6,72.6,3.3
50.6,10.2,100,10.8,62.8,20.7
58,,,9.1,,
,5.2,,,,
44.3,8.9,,13.2,84.2,10.3
33,2,,41.8,,33
,,,,,
,,,,,
66,,,,,
10.3,6.9,,,,4.2
,,,,,
,,,,,
,12,100,,,
,,,,,30
,,,,,
,,,,,
0,,,,,
,5.6,,,,28.6
,,,,,
,,,,,
21.4,17.3,100,,,8.3
,,,,,
,10.1,,,,
,,,,,
,,,,,
,,,23,,8.2
,,,,,
,,,,,
46,,,,,7
15.1,,,,52.6,4.9
48.3,7.3,100,36,,9.8
30.4,,,,,
,7,,15.4,17.7,0
,,,,,
,,,,,
,,,,,
,,,,,
,5.4,100,6.2,,
20,8,100,20,30,0
47.9,,,,89.8,4
,,,,,
0,,,40,0,0
35.9,5.7,,23.1,57.6,32.3
,7.1,,,,
12,,,,15,0
15.3,17.8,100,19.5,68.7,2.8
,5,,,,
55,5.4,100,15.5,69,31
,,,,,
,,,,,50
50,8,100,0,,33
,,,,,5.5
100,,,,,0
,,,31.8,,
,,,,,
,,,,,
,,,,,
72,,,6,,50
,,,,,100
,,,17.7,,12
11,,0,14,59.6,8
,,,,,
,,,,,100
,,,,,
42,7.8,0,13.2,61,25
33,6,,,,11.5
,,,,,
19.8,,,9.6,,
10.4,9.1,100,25.9,42.7,3.6
4.4,11.9,,19.7,,1.5
,,,,,
31.1,4.8,,,,11
,,,,,
,,,,,
,,,20,,28.7
61.9,,100,,,
,,,,,
,,,22.5,,
17.2,10.7,150,3.7,54.2,2.7
,,,15,,0
,,,,,
,,,,,
,,,,,20
,,,,,
37.3,6.2,100,9.7,85.7,28.6
,,,,,
35,,,,,0
80.9,4,,,,
,7.4,100,10.4,,3.9
,,,,60.3,6.5
32,,,,62,
70,,100,4.5,72.1,58.3
42.4,,,8.5,,
,,,,,
,,,,59.6,
,,,,,
67.7,5.4,100,,,66.7
,,,,,
,,,,,
,,,,,
50,,,36,,30
28.8,5.3,110,12,66.8,14.7
,,,9.5,,9.9
,8.1,100,,,14.1
,,,,,
,,,,,
,,,,55.1,
,,,,,
,,,,,
90.9,7.1,100,28.6,85.7,66.7
48.2,11.1,100,7.8,83.1,18.3
61,9.2,100,,71.5,14.1
50,0.6,0,0,0,0
53.3,,100,7.9,,33.3
,,,,,
,,,,,
,,,,,12
,,,,,
,,,,,
,,,,,
10,11.8,100,17.9,71,15.7
,2.1,,,,
11.1,1,0,25,42.3,0
,,,,,
,,,,,
,,,14,,
,10,50,,50,25
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,30,,0
49.7,12,100,3,97,0
,,,0,,0
100,,,,45,
18.5,12.4,80,22.5,63,3.9
,,,,,
,,,,,
6.2,,,,,
,,,17.6,,
,,,15,,20
,,,3.2,,
,7.4,,,,
38.9,11.3,,10.6,,
46.5,10,,15,69.6,
,,,,,
78,,,,46,45
,,,,,68.2
16.9,16.9,100,2.5,,10.9
,,,,43,10.9
,,,,68,24
,,,,55,3.6
,,,,,
0,,,,,
,,,,63.3,
,,,,,15
23.9,11.2,100,5.7,,22.2
15,13.7,100,14.2,,
,10.5,,,,
,6,,,,
,16.2,,,,
40,2.5,100,20,82,25
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,14.6,,,,14.2
,10,,,,4.7
,4.5,,,,15
82,,100,,,
,,,,,
,,,,,
,,,24.2,,0
29.7,8.4,,,,25
100,5,100,0,100,100
,,,1,,77.8
,,,,,
36.8,8.6,,5.1,65.1,25
,,,,,
,,,,,
,5.4,,,,6.7
26,,,,,
50,,100,,,
,,,,,100
,,,,,14.3
,,,,,
,,,,,
,,,,,
,7.6,,15.7,,
,7,,,,35.9
,,,,,
